id;fecha;resistivity-1;capitance-4;temperature;laminar_1H;laminar_1L;capitance-5;resistivity-3;capitance-1;resistivity-2;capitance-6;resistivity-4;resistivity-5;resistivity-6;capitance-2;capitance-3;turbulent_1H;turbulent_1L;turb_laminar_1H;turb_laminar_1L;flow_regimen;resistivity-2_1H;resistivity-2_1L;watercut_1H;watercut_1L;ph;dissolved-oxygen;tss-180;tss-90;oil-water;conductivity-AC;conductivity-DC;ph_1H;ph_1L;dissolved-oxygen_1H;dissolved-oxygen_1L;tss-180_1H;tss-180_1L;tss-90_1H;tss-90_1L;temperature_1H;temperature_1L;oil-water_1H;oil-water_1L;conductivity-AC_1H;conductivity-AC_1L;conductivity-DC_1H;conductivity-DC_1L;water-quality_1H;water-quality_1L;PH_1H;PH_1L;Conductivity-AC_1H;Conductivity-AC_1L
207;2020/01/17 17:22:25;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;2020/01/17 17:23:31;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;2020/01/17 17:23:47;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;2020/01/17 17:24:41;16327;16329;;;;;;;;;;;;;;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;2020/01/17 17:25:15;16327;16329;;0;9830;;;;;;;;;;;0;9830;0;9830;12;;;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;2020/01/17 17:25:50;16327;16329;;;;;;;;;;;;;;0;9830;;;12;;;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;2020/01/18 13:10:31;16327;16329;;;;16341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;2020/01/18 13:13:41;16327;16329;16347;;;16341;;;;16344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;2020/02/26 09:18:13;16327;16377;8834;;;16342;16342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;2020/09/18 12:05:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;2020/09/18 12:20:58;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
218;2020/09/18 12:36:43;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
219;2020/09/18 12:37:30;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
220;2020/09/18 12:38:03;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
221;2020/09/18 12:39:53;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
222;2020/09/18 14:38:33;;;9460;;;;;;;;;;;;;;;;;;;;;;6600;9600;3040;3600;1460;12600;1600;;;;;;;;;;;;;;;;;;;;;;
223;2020/09/18 14:47:44;;;9490;;;;;;;;;;;;;;;;;;;;;;6900;11900;3010;3900;1490;12900;1900;;;;;;;;;;;;;;;;;;;;;;
224;2020/09/18 15:08:10;;;9490;;;;;;;;;;;;;;;;;;;;;;6900;11900;3010;3900;1490;12900;1900;;;;;;;;;;;;;;;;;;;;;;
225;2020/09/18 15:08:58;;;9490;;;;;;;;;;;;;;;;;;;;;;6900;11900;3010;3900;1490;12900;1900;;;;;;;;;;;;;;;;;;;;;;
226;2020/09/18 15:21:47;;;9530;;;;;;;;;;;;;;;;;;;;;;7300;11700;3030;4300;1530;13300;2300;;;;;;;;;;;;;;;;;;;;;;
227;2020/09/18 15:49:22;;;9530;;;;;;;;;;;;;;;;;;;;;;7300;11700;3030;4300;1530;13300;2300;;;;;;;;;;;;;;;;;;;;;;
228;2020/09/18 15:50:25;;;9530;;;;;;;;;;;;;;;;;;;;;;7300;11700;3030;4300;1530;13300;2300;;;;;;;;;;;;;;;;;;;;;;
